track_id,frame_id,timestamp,x,y,w,h,confidence,class_name
0,0,0.000,1158.21,807.45,96.76,238.77,0.7379,person
1,0,0.000,55.86,598.09,80.12,236.59,0.7243,person
2,0,0.000,989.18,320.95,66.60,195.18,0.6342,person
3,0,0.000,601.75,763.70,73.09,198.38,0.6270,person
4,0,0.000,735.73,641.48,80.47,224.92,0.6104,person
5,0,0.000,1321.93,480.31,77.28,217.14,0.5784,person
1,1,0.040,1157.50,808.55,96.37,237.88,0.7487,person
2,1,0.040,56.05,597.52,79.87,235.91,0.7307,person
3,1,0.040,989.81,320.10,66.08,193.65,0.6587,person
4,1,0.040,601.91,763.62,73.20,198.67,0.6280,person
5,1,0.040,736.87,641.16,80.70,225.65,0.6213,person
1,2,0.080,1156.45,808.62,97.35,240.62,0.7687,person
2,2,0.080,57.03,596.73,80.20,236.91,0.7440,person
3,2,0.080,990.84,318.52,65.81,192.78,0.6885,person
4,2,0.080,602.21,764.00,72.98,198.03,0.6649,person
5,2,0.080,738.35,640.24,81.23,227.42,0.6714,person
6,2,0.080,1321.38,481.10,77.82,216.30,0.6288,person
1,3,0.120,1154.48,803.52,100.73,249.94,0.7646,person
2,3,0.120,59.09,596.11,80.44,237.58,0.7457,person
3,3,0.120,992.87,316.58,65.34,191.15,0.7308,person
4,3,0.120,601.93,763.96,72.81,197.53,0.6249,person
5,3,0.120,740.49,640.27,81.13,227.69,0.6770,person
6,3,0.120,1320.09,481.08,78.17,217.29,0.6465,person
1,4,0.160,1155.01,805.68,99.64,248.40,0.7785,person
2,4,0.160,60.24,595.77,80.53,238.11,0.7703,person
3,4,0.160,994.32,313.93,65.67,191.88,0.7190,person
4,4,0.160,601.84,764.01,73.15,198.50,0.6500,person
5,4,0.160,741.83,639.65,81.24,228.44,0.6766,person
6,4,0.160,1319.32,480.82,78.42,218.06,0.6496,person
1,5,0.200,1155.56,807.96,97.84,245.12,0.7684,person
2,5,0.200,62.00,595.10,79.60,235.42,0.8074,person
3,5,0.200,995.27,313.18,65.58,191.43,0.7228,person
4,5,0.200,601.63,763.86,73.22,198.76,0.6281,person
5,5,0.200,742.47,638.23,81.73,230.54,0.6602,person
6,5,0.200,1318.78,480.36,78.45,218.45,0.6391,person
1,6,0.240,1156.69,811.07,96.40,242.94,0.7781,person
2,6,0.240,62.91,593.84,78.00,230.51,0.7765,person
3,6,0.240,996.60,312.20,66.01,192.69,0.7091,person
4,6,0.240,601.61,764.08,73.36,199.24,0.6142,person
5,6,0.240,744.97,637.83,81.57,230.87,0.6184,person
6,6,0.240,1318.57,480.30,78.05,217.80,0.6514,person
1,7,0.280,1157.73,813.37,95.43,242.11,0.7804,person
2,7,0.280,62.98,591.60,77.57,229.43,0.7380,person
3,7,0.280,997.96,311.49,66.18,193.40,0.7120,person
4,7,0.280,601.72,764.11,73.28,199.11,0.6187,person
5,7,0.280,748.42,637.55,80.81,229.52,0.5905,person
6,7,0.280,1319.07,480.44,77.67,217.26,0.6521,person
8,7,0.280,1289.33,980.06,92.09,99.94,0.6093,person
1,8,0.320,1159.55,818.76,92.36,235.24,0.7702,person
2,8,0.320,62.94,588.69,77.71,230.48,0.7519,person
3,8,0.320,998.95,310.89,66.40,194.25,0.7048,person
4,8,0.320,601.61,764.16,73.06,198.35,0.5591,person
5,8,0.320,750.28,636.35,80.27,229.15,0.5912,person
6,8,0.320,1318.80,480.40,77.55,217.36,0.6330,person
8,8,0.320,1291.13,981.92,90.52,98.08,0.6217,person
1,9,0.360,1161.99,820.80,91.81,234.96,0.7643,person
2,9,0.360,62.55,584.51,78.20,232.10,0.6979,person
3,9,0.360,1000.18,310.52,66.57,194.86,0.6928,person
4,9,0.360,601.29,764.03,73.46,199.35,0.5646,person
5,9,0.360,752.23,634.24,80.03,229.99,0.6318,person
6,9,0.360,1319.07,480.47,77.49,217.88,0.6334,person
8,9,0.360,1294.25,983.41,89.51,96.59,0.6496,person
1,10,0.400,1164.13,822.83,91.95,235.97,0.7525,person
2,10,0.400,63.05,582.15,77.39,229.38,0.7076,person
3,10,0.400,1001.40,310.39,66.63,195.12,0.6806,person
4,10,0.400,601.02,764.33,73.70,199.94,0.5664,person
5,10,0.400,754.60,632.46,79.65,230.74,0.6379,person
6,10,0.400,1318.63,480.70,77.41,218.51,0.6608,person
8,10,0.400,1293.90,985.77,87.63,94.23,0.6150,person
9,10,0.400,1184.62,642.78,65.72,143.00,0.5683,person
1,11,0.440,1167.15,823.96,91.42,235.02,0.7321,person
2,11,0.440,64.08,578.79,76.16,225.20,0.7435,person
3,11,0.440,1002.50,310.53,66.48,194.95,0.6990,person
4,11,0.440,600.93,764.99,74.95,202.97,0.6132,person
5,11,0.440,756.11,631.80,79.09,230.75,0.6767,person
6,11,0.440,1318.25,481.74,76.54,217.18,0.7145,person
8,11,0.440,1295.36,987.36,86.53,92.64,0.6288,person
1,12,0.480,1167.45,821.53,92.48,238.57,0.7389,person
2,12,0.480,64.64,576.67,75.46,223.00,0.7287,person
3,12,0.480,1003.18,309.73,66.96,196.26,0.7058,person
4,12,0.480,601.06,764.09,74.30,201.54,0.6523,person
5,12,0.480,757.30,630.50,78.63,230.97,0.7082,person
6,12,0.480,1317.87,480.93,76.39,218.29,0.7107,person
8,12,0.480,1296.15,987.89,86.53,92.11,0.6079,person
1,13,0.520,1168.71,823.72,92.69,240.31,0.7496,person
2,13,0.520,64.93,575.25,75.37,222.17,0.7282,person
3,13,0.520,1004.40,309.54,66.85,196.31,0.7043,person
4,13,0.520,601.06,763.78,74.16,201.53,0.6596,person
5,13,0.520,757.90,630.09,78.10,230.86,0.7227,person
6,13,0.520,1317.90,480.89,75.69,217.69,0.6933,person
8,13,0.520,1297.17,989.71,85.47,90.29,0.6061,person
10,13,0.520,1001.09,838.20,121.14,241.57,0.7008,person
9,13,0.520,1185.90,655.10,89.88,194.72,0.5403,person
1,14,0.560,1169.67,825.64,92.21,239.80,0.7190,person
2,14,0.560,64.71,573.27,76.64,225.88,0.7461,person
3,14,0.560,1005.66,309.36,66.72,196.40,0.7082,person
4,14,0.560,601.22,763.46,73.92,201.16,0.6768,person
5,14,0.560,758.65,629.64,77.09,228.96,0.7376,person
6,14,0.560,1317.94,480.44,75.43,218.20,0.6778,person
8,14,0.560,1297.16,990.66,85.09,89.30,0.5486,person
10,14,0.560,1001.18,837.22,121.55,242.67,0.6684,person
9,14,0.560,1186.27,658.59,100.71,218.70,0.5816,person
1,15,0.600,1171.22,826.76,92.93,242.70,0.7230,person
2,15,0.600,64.03,572.03,77.53,227.93,0.7705,person
3,15,0.600,1006.64,307.70,66.84,197.06,0.6806,person
4,15,0.600,601.18,763.56,73.93,201.38,0.6544,person
5,15,0.600,759.52,629.92,76.58,228.38,0.7219,person
6,15,0.600,1318.08,480.45,75.06,218.18,0.6670,person
8,15,0.600,1299.24,993.36,83.13,86.62,0.5274,person
10,15,0.600,1000.79,834.76,122.53,245.06,0.6833,person
9,15,0.600,1190.05,663.95,103.16,223.59,0.5389,person
1,16,0.640,1172.14,827.81,94.00,245.77,0.7354,person
2,16,0.640,65.43,571.50,76.98,225.28,0.7635,person
3,16,0.640,1007.17,306.74,66.97,197.49,0.6740,person
4,16,0.640,601.08,763.11,73.50,200.24,0.6106,person
5,16,0.640,759.80,629.89,76.15,228.01,0.6956,person
6,16,0.640,1318.27,480.08,74.88,218.51,0.6520,person
10,16,0.640,999.24,831.98,123.59,247.63,0.6720,person
9,16,0.640,1194.63,669.12,104.38,225.25,0.5450,person
1,17,0.680,1174.05,828.05,94.71,247.24,0.7526,person
2,17,0.680,66.25,570.81,76.87,224.09,0.7634,person
3,17,0.680,1008.02,305.51,66.65,196.47,0.6754,person
4,17,0.680,600.56,762.41,73.72,200.69,0.6009,person
5,17,0.680,759.87,629.96,75.90,228.16,0.7073,person
6,17,0.680,1318.56,479.94,74.26,217.50,0.6368,person
10,17,0.680,998.41,829.57,124.45,249.79,0.6593,person
9,17,0.680,1202.20,671.68,101.75,218.17,0.5751,person
11,17,0.680,1026.55,83.56,66.01,184.38,0.5715,person
1,18,0.720,1176.07,829.64,94.47,246.12,0.7732,person
2,18,0.720,67.05,570.20,77.29,224.63,0.7556,person
3,18,0.720,1008.19,304.09,66.66,196.14,0.6284,person
4,18,0.720,600.18,762.44,73.66,200.23,0.6024,person
5,18,0.720,759.96,629.62,75.63,228.46,0.6921,person
6,18,0.720,1318.72,480.17,73.91,217.26,0.6420,person
10,18,0.720,999.65,827.41,124.28,250.12,0.7031,person
9,18,0.720,1211.86,675.25,100.58,215.91,0.6127,person
11,18,0.720,1027.74,84.98,65.10,181.71,0.5577,person
1,19,0.760,1178.71,829.85,95.05,246.98,0.7653,person
2,19,0.760,67.05,569.92,77.70,225.48,0.7764,person
3,19,0.760,1009.72,302.28,66.49,195.54,0.5986,person
4,19,0.760,599.98,761.91,73.98,201.00,0.6378,person
5,19,0.760,760.32,628.94,75.38,228.86,0.6925,person
6,19,0.760,1318.81,480.54,73.70,217.47,0.6180,person
10,19,0.760,997.12,823.67,126.49,255.18,0.7340,person
9,19,0.760,1227.97,680.56,80.76,165.97,0.5501,person
11,19,0.760,1029.08,87.01,64.07,178.74,0.5802,person
1,20,0.800,1180.61,831.55,95.48,246.99,0.7633,person
2,20,0.800,67.30,567.40,79.36,229.65,0.7570,person
3,20,0.800,1011.12,300.29,66.10,194.24,0.5919,person
4,20,0.800,599.70,761.81,74.24,201.40,0.6392,person
5,20,0.800,760.02,628.12,75.16,229.52,0.6881,person
6,20,0.800,1319.17,480.37,73.63,218.01,0.5999,person
10,20,0.800,998.71,821.64,126.23,255.54,0.6137,person
9,20,0.800,1229.65,686.55,92.78,189.57,0.5491,person
11,20,0.800,1030.09,88.48,64.16,178.99,0.5651,person
1,21,0.840,1182.59,833.38,95.59,246.52,0.7716,person
2,21,0.840,68.28,565.10,78.90,227.52,0.7539,person
3,21,0.840,1012.37,299.05,65.71,193.20,0.5845,person
4,21,0.840,599.17,761.83,74.31,200.63,0.6188,person
5,21,0.840,759.99,627.42,74.58,228.82,0.6650,person
6,21,0.840,1319.64,480.70,73.07,217.13,0.6095,person
10,21,0.840,1000.98,819.09,125.97,256.61,0.6652,person
9,21,0.840,1233.62,691.13,96.69,196.57,0.6601,person
11,21,0.840,1030.98,92.33,64.24,179.30,0.5559,person
1,22,0.880,1185.81,835.65,95.46,244.35,0.7660,person
2,22,0.880,68.99,561.70,78.80,225.98,0.7648,person
3,22,0.880,1013.65,298.16,65.51,192.30,0.5378,person
4,22,0.880,598.84,761.97,73.91,197.87,0.6317,person
