track_id,frame_id,timestamp,x,y,w,h,confidence,class_name
0,0,0.000,1612.75,6.12,305.92,985.91,0.9059,person
1,0,0.000,821.89,6.01,830.76,1067.29,0.9028,person
1,1,0.040,1609.02,5.91,306.35,987.04,0.8563,person
2,1,0.040,847.26,6.33,829.66,1065.82,0.9156,person
1,2,0.080,1630.62,5.86,289.38,965.59,0.6870,person
2,2,0.080,880.43,7.25,829.50,1064.37,0.8817,person
2,3,0.120,968.94,6.38,831.02,1065.21,0.8988,person
2,4,0.160,1073.15,4.25,831.72,1066.75,0.9216,person
2,5,0.200,1160.89,5.32,759.11,1061.93,0.9002,person
2,6,0.240,1219.57,4.23,700.43,1062.98,0.8994,person
2,7,0.280,1205.84,5.52,714.16,1061.41,0.8307,person
2,8,0.320,1182.18,7.04,737.82,1043.49,0.6729,person
2,9,0.360,1112.52,4.56,753.29,1011.54,0.9007,person
1,9,0.360,1619.02,6.95,300.98,1059.39,0.8398,person
2,10,0.400,1076.65,4.71,741.22,1006.84,0.8996,person
1,10,0.400,1627.52,5.64,292.48,1066.83,0.8620,person
2,11,0.440,1058.00,4.95,729.03,999.43,0.9191,person
1,11,0.440,1625.77,4.43,294.23,1069.37,0.8604,person
2,12,0.480,1037.44,6.91,714.52,990.08,0.9168,person
1,12,0.480,1617.90,2.45,302.10,1070.74,0.7704,person
2,13,0.520,1009.25,3.89,705.46,992.10,0.9232,person
1,13,0.520,1615.96,3.38,304.04,1067.85,0.8605,person
2,14,0.560,986.92,5.58,682.98,981.64,0.9152,person
1,14,0.560,1616.41,6.16,303.59,1065.92,0.9046,person
2,15,0.600,970.64,5.68,667.58,980.67,0.8081,person
1,15,0.600,1609.95,7.10,310.05,1068.82,0.8891,person
2,16,0.640,960.36,6.41,649.08,973.72,0.7400,person
1,16,0.640,1590.00,6.65,317.39,1070.17,0.8927,person
2,17,0.680,931.69,6.32,635.04,973.34,0.8174,person
1,17,0.680,1562.70,5.94,326.27,1071.68,0.8980,person
2,18,0.720,896.79,4.92,623.55,978.97,0.6453,person
1,18,0.720,1528.41,4.65,334.85,1070.13,0.8494,person
2,19,0.760,824.43,3.67,610.44,987.40,0.8457,person
1,19,0.760,1465.41,5.75,351.01,1067.94,0.8956,person
2,20,0.800,753.72,5.22,600.57,983.14,0.8711,person
1,20,0.800,1381.12,5.69,375.24,1069.62,0.9005,person
2,21,0.840,700.05,5.17,599.13,980.98,0.9207,person
1,21,0.840,1285.81,4.43,408.39,1068.26,0.9240,person
2,22,0.880,666.37,6.00,601.98,986.86,0.9158,person
1,22,0.880,1231.66,6.10,439.69,1067.04,0.9395,person
2,23,0.920,634.32,6.09,617.34,1016.03,0.9149,person
1,23,0.920,1197.17,4.08,471.41,1070.73,0.9100,person
2,24,0.960,617.91,5.83,606.89,1002.54,0.9110,person
1,24,0.960,1164.18,5.35,500.49,1070.87,0.9069,person
2,25,1.000,608.11,6.21,599.12,996.89,0.9045,person
1,25,1.000,1137.55,3.65,526.61,1074.25,0.9370,person
2,26,1.040,586.75,6.08,588.11,993.54,0.8978,person
1,26,1.040,1109.71,2.67,546.68,1077.23,0.9197,person
2,27,1.080,571.71,5.83,577.57,995.13,0.8378,person
1,27,1.080,1075.91,5.73,551.49,1069.98,0.9223,person
2,28,1.120,541.71,4.78,559.78,996.64,0.6743,person
1,28,1.120,1038.62,6.72,550.45,1066.55,0.9058,person
2,29,1.160,520.16,4.41,555.30,1001.49,0.6129,person
1,29,1.160,996.88,7.06,544.41,1066.88,0.9136,person
2,30,1.200,467.69,5.63,546.55,996.46,0.6614,person
1,30,1.200,952.12,5.89,529.27,1067.68,0.8813,person
2,31,1.240,416.38,5.52,548.69,993.36,0.8153,person
1,31,1.240,901.34,5.48,511.63,1067.99,0.8742,person
2,32,1.280,357.35,6.00,558.33,993.72,0.8479,person
1,32,1.280,855.05,5.03,500.27,1072.42,0.9013,person
2,33,1.320,287.68,4.72,567.44,997.61,0.8763,person
1,33,1.320,790.01,4.93,497.38,1067.81,0.8713,person
2,34,1.360,246.67,6.86,586.04,1008.51,0.8818,person
1,34,1.360,720.55,4.87,508.61,1068.48,0.9211,person
2,35,1.400,207.41,5.54,590.59,989.26,0.8952,person
1,35,1.400,646.78,4.89,529.20,1068.24,0.9175,person
4,35,1.400,1235.84,382.23,52.33,177.65,0.6419,person
2,36,1.440,167.12,7.60,599.57,980.75,0.8646,person
1,36,1.440,590.12,6.67,554.33,1067.65,0.9116,person
4,36,1.440,1238.40,384.72,51.87,176.11,0.5208,person
5,36,1.440,1248.36,389.74,88.50,171.62,0.6539,person
2,37,1.480,98.97,8.05,598.42,973.50,0.8397,person
1,37,1.480,553.15,6.92,579.94,1068.15,0.9217,person
4,37,1.480,1242.13,389.63,50.90,172.29,0.6589,person
5,37,1.480,1263.16,394.16,85.40,166.33,0.5660,person
2,38,1.520,74.71,7.48,607.21,975.18,0.8188,person
1,38,1.520,520.55,7.80,604.69,1066.00,0.9271,person
4,38,1.520,1244.93,392.98,50.26,168.77,0.7258,person
5,38,1.520,1273.01,396.25,83.18,163.57,0.6569,person
2,39,1.560,49.45,7.23,618.53,982.32,0.8456,person
1,39,1.560,496.76,6.95,627.18,1065.41,0.9324,person
4,39,1.560,1248.92,391.52,51.89,171.68,0.5955,person
5,39,1.560,1277.06,393.82,84.12,167.69,0.5409,person
2,40,1.600,21.04,7.48,619.54,978.04,0.8904,person
1,40,1.600,464.85,5.81,644.20,1068.45,0.9230,person
4,40,1.600,1252.35,395.78,51.58,166.64,0.6071,person
5,40,1.600,1282.72,395.03,81.85,165.56,0.5788,person
2,41,1.640,0.00,7.52,610.67,976.32,0.8212,person
1,41,1.640,419.96,6.18,651.73,1067.91,0.9476,person
4,41,1.640,1256.05,399.52,51.81,162.23,0.5246,person
2,42,1.680,0.00,7.01,568.99,977.02,0.5925,person
1,42,1.680,379.70,5.50,648.81,1066.87,0.9244,person
4,42,1.680,1257.07,395.91,54.87,166.06,0.6021,person
5,42,1.680,1290.32,397.15,78.86,162.97,0.5099,person
2,43,1.720,0.00,5.51,561.74,983.13,0.7943,person
1,43,1.720,337.79,5.74,637.50,1066.39,0.9303,person
