track_id,frame_id,timestamp,x,y,w,h,confidence,class_name
0,0,0.000,363.89,572.09,686.55,1631.96,0.8899,person
1,1,0.042,375.55,584.25,659.63,1567.44,0.8938,person
1,2,0.083,383.88,593.44,636.94,1511.80,0.8857,person
1,3,0.125,362.82,600.75,665.14,1580.05,0.8261,person
1,4,0.167,356.37,606.40,667.70,1587.48,0.8971,person
1,5,0.209,359.39,609.51,651.60,1549.98,0.8556,person
1,6,0.250,370.38,613.14,623.66,1481.02,0.8906,person
1,7,0.292,385.32,613.59,587.57,1388.48,0.8723,person
1,8,0.334,389.04,614.37,575.10,1353.77,0.8942,person
1,9,0.375,391.78,618.09,564.43,1323.95,0.9024,person
1,10,0.417,391.90,626.01,556.41,1300.64,0.9016,person
1,11,0.459,391.83,636.22,552.40,1287.85,0.8928,person
1,12,0.500,391.48,646.99,549.43,1279.26,0.8652,person
1,13,0.542,397.42,662.39,535.56,1242.86,0.8815,person
1,14,0.584,398.47,678.74,536.51,1245.89,0.9016,person
1,15,0.626,399.38,692.29,534.92,1245.01,0.9036,person
1,16,0.667,397.02,700.67,542.48,1270.92,0.8814,person
1,17,0.709,396.09,704.80,546.87,1292.45,0.8752,person
1,18,0.751,407.00,710.12,527.16,1251.25,0.8915,person
1,19,0.792,415.40,712.46,514.17,1223.89,0.8990,person
1,20,0.834,424.26,713.01,501.19,1195.26,0.8919,person
1,21,0.876,431.68,712.41,489.25,1168.27,0.8791,person
1,22,0.918,441.41,714.30,466.79,1110.12,0.8893,person
1,23,0.959,448.89,714.70,450.10,1064.77,0.8992,person
1,24,1.001,452.02,717.77,440.91,1037.38,0.9017,person
1,25,1.043,451.87,724.01,436.05,1021.01,0.9043,person
1,26,1.084,450.88,733.25,432.51,1008.22,0.9056,person
1,27,1.126,450.84,743.27,426.40,989.16,0.8946,person
1,28,1.168,448.18,753.66,423.38,977.89,0.8868,person
1,29,1.210,446.34,763.97,420.82,968.59,0.8652,person
1,30,1.251,445.84,771.02,414.41,949.55,0.8601,person
1,31,1.293,446.46,773.11,403.27,916.47,0.8631,person
1,32,1.335,445.10,773.00,397.56,895.55,0.8531,person
1,33,1.376,429.22,772.64,424.07,959.01,0.8935,person
1,34,1.418,425.67,771.52,425.90,964.34,0.8951,person
1,35,1.460,426.54,768.42,419.54,949.24,0.8950,person
1,36,1.501,429.26,767.31,410.83,927.47,0.8830,person
1,37,1.543,431.30,769.01,399.60,900.43,0.8869,person
1,38,1.585,432.57,772.08,392.01,882.58,0.8987,person
1,39,1.627,434.29,777.46,386.65,869.97,0.8893,person
1,40,1.668,435.73,783.07,382.16,859.30,0.8771,person
1,41,1.710,441.27,791.62,376.14,843.40,0.8708,person
1,42,1.752,444.20,801.14,370.19,828.44,0.8820,person
1,43,1.793,443.01,809.91,371.45,832.94,0.8713,person
1,44,1.835,441.68,813.19,377.96,852.88,0.8484,person
1,45,1.877,442.16,813.03,380.09,864.62,0.8633,person
1,46,1.919,446.07,811.20,374.76,858.45,0.8818,person
1,47,1.960,450.94,812.21,369.51,852.12,0.9006,person
1,48,2.002,456.13,812.04,362.84,840.96,0.9015,person
1,49,2.044,460.68,811.91,355.84,827.32,0.8999,person
1,50,2.085,464.30,812.44,349.78,814.62,0.8938,person
1,51,2.127,466.29,811.23,345.12,805.03,0.8898,person
1,52,2.169,467.79,811.08,340.16,794.04,0.8708,person
1,53,2.211,470.64,815.68,333.59,777.64,0.8863,person
1,54,2.252,473.61,824.17,328.05,762.49,0.8710,person
1,55,2.294,472.22,831.72,329.95,766.28,0.8666,person
1,56,2.336,471.10,839.03,329.12,764.83,0.8767,person
1,57,2.377,469.43,844.56,329.78,767.35,0.8861,person
1,58,2.419,468.94,850.86,327.30,761.86,0.8767,person
1,59,2.461,466.35,854.37,327.58,763.66,0.8730,person
1,60,2.502,464.19,856.34,331.92,775.27,0.8804,person
1,61,2.544,465.64,856.84,329.03,767.94,0.8863,person
1,62,2.586,463.48,856.95,323.73,756.25,0.8884,person
1,63,2.628,458.63,854.67,322.88,757.26,0.8771,person
1,64,2.669,455.48,852.69,321.76,759.13,0.8728,person
1,65,2.711,457.41,853.06,314.40,744.42,0.8648,person
1,66,2.753,459.13,853.31,310.34,737.33,0.8565,person
1,67,2.794,465.76,855.46,293.87,695.99,0.8576,person
1,68,2.836,466.08,857.30,291.21,689.53,0.8574,person
1,69,2.878,465.77,863.08,289.95,686.61,0.8664,person
1,70,2.920,466.04,868.36,284.28,672.72,0.8571,person
1,71,2.961,471.11,875.18,272.76,642.07,0.8729,person
1,72,3.003,465.79,881.95,284.12,672.03,0.8649,person
1,73,3.045,465.75,887.00,285.29,677.61,0.8702,person
1,74,3.086,475.29,888.57,269.14,637.48,0.8690,person
1,75,3.128,478.55,889.26,266.06,629.96,0.8739,person
1,76,3.170,479.50,889.25,267.11,632.76,0.8708,person
1,77,3.212,481.56,888.66,266.84,631.51,0.8705,person
1,78,3.253,484.39,887.35,263.00,621.82,0.8882,person
1,79,3.295,486.26,886.33,260.30,615.20,0.8943,person
1,80,3.337,487.09,886.01,259.31,612.74,0.8883,person
1,81,3.378,488.30,887.10,257.60,608.32,0.8908,person
1,82,3.420,489.58,889.59,256.22,605.43,0.8846,person
1,83,3.462,489.98,893.02,255.33,603.67,0.8831,person
1,84,3.503,490.37,897.46,255.10,604.12,0.8746,person
1,85,3.545,489.88,902.05,253.53,601.04,0.8719,person
1,86,3.587,490.52,905.24,250.71,594.89,0.8620,person
1,87,3.629,492.27,906.93,246.76,584.81,0.8530,person
1,88,3.670,490.23,906.01,246.50,583.97,0.8297,person
1,89,3.712,488.42,906.21,246.94,585.26,0.8570,person
1,90,3.754,485.30,905.78,247.95,587.90,0.8820,person
1,91,3.795,483.55,905.19,247.82,587.89,0.8771,person
1,92,3.837,481.02,904.64,249.69,593.83,0.8801,person
1,93,3.879,481.32,903.75,247.53,589.08,0.8729,person
1,94,3.921,480.68,902.71,246.72,588.64,0.8755,person
1,95,3.962,484.31,903.42,238.22,567.13,0.8859,person
1,96,4.004,484.35,903.89,236.40,562.77,0.8819,person
1,97,4.046,483.68,903.94,235.85,561.32,0.8777,person
1,98,4.087,484.63,904.72,231.65,549.92,0.8758,person
1,99,4.129,487.17,905.99,226.79,536.46,0.8814,person
1,100,4.171,488.37,907.81,226.78,536.35,0.8539,person
1,101,4.213,488.74,910.84,227.61,538.74,0.8495,person
1,102,4.254,488.25,912.78,227.79,539.47,0.8540,person
1,103,4.296,489.45,912.31,225.40,533.32,0.8187,person
1,104,4.338,492.04,911.31,223.38,528.23,0.8555,person
1,105,4.379,493.49,913.39,223.29,528.86,0.8412,person
1,106,4.421,495.77,914.62,222.43,528.51,0.8271,person
1,107,4.463,495.97,911.28,221.73,528.84,0.8332,person
1,108,4.504,496.15,908.42,220.02,526.53,0.8373,person
1,109,4.546,497.34,906.79,217.84,523.36,0.8484,person
1,110,4.588,497.70,905.97,216.01,520.88,0.8443,person
1,111,4.630,497.83,907.21,214.06,518.16,0.8314,person
1,112,4.671,498.97,916.28,209.46,507.28,0.8162,person
1,113,4.713,502.98,944.16,199.42,479.75,0.8155,person
1,114,4.755,502.91,954.64,197.56,472.17,0.8421,person
1,115,4.796,501.56,961.94,198.53,469.94,0.8470,person
1,116,4.838,498.85,962.81,202.30,474.85,0.8390,person
1,117,4.880,498.57,963.95,202.77,470.93,0.8399,person
1,118,4.922,496.42,954.60,206.22,475.77,0.8357,person
1,119,4.963,494.63,945.75,206.77,473.70,0.8633,person
1,120,5.005,491.53,939.95,207.79,473.78,0.8602,person
1,121,5.047,487.45,939.62,208.22,473.63,0.8627,person
1,122,5.088,484.43,937.86,208.79,474.81,0.8676,person
1,123,5.130,484.04,936.52,207.09,470.39,0.8742,person
1,124,5.172,484.39,935.85,205.33,465.22,0.8766,person
1,125,5.214,484.80,937.46,202.73,458.19,0.8711,person
1,126,5.255,484.50,939.45,200.03,451.52,0.8814,person
1,127,5.297,486.36,942.41,197.79,445.85,0.8824,person
1,128,5.339,489.28,945.76,194.38,436.91,0.8799,person
1,129,5.380,490.41,949.06,192.31,431.26,0.8742,person
1,130,5.422,493.19,951.26,187.26,417.07,0.8580,person
1,131,5.464,491.15,952.38,192.00,427.48,0.8466,person
1,132,5.505,485.73,952.64,203.42,456.61,0.8377,person
1,133,5.547,487.13,954.52,201.47,454.37,0.8486,person
1,134,5.589,489.71,953.45,197.36,446.53,0.8617,person
1,135,5.631,492.49,953.27,192.62,436.22,0.8584,person
1,136,5.672,492.38,951.96,191.14,434.16,0.8633,person
1,137,5.714,492.49,953.11,188.38,429.46,0.8545,person
1,138,5.756,494.92,955.09,182.61,416.66,0.8449,person
1,139,5.797,494.07,955.67,181.89,415.77,0.8446,person
1,140,5.839,492.11,954.12,184.15,422.45,0.8506,person
1,141,5.881,490.27,953.61,185.37,426.45,0.8462,person
1,142,5.923,490.10,955.37,181.61,417.00,0.8087,person
1,143,5.964,488.40,955.57,182.10,417.81,0.8062,person
1,144,6.006,485.67,956.29,184.86,425.17,0.8184,person
1,145,6.048,483.80,957.15,184.66,426.04,0.8155,person
1,146,6.089,481.29,957.69,184.54,426.82,0.8052,person
1,147,6.131,479.46,957.55,184.14,426.94,0.8296,person
1,148,6.173,479.18,956.92,180.68,419.13,0.8298,person
1,149,6.215,479.26,956.15,178.34,413.39,0.8274,person
1,150,6.256,478.39,955.40,176.68,409.07,0.8167,person
1,151,6.298,477.25,955.26,174.40,403.55,0.8217,person
1,152,6.340,475.40,955.55,174.62,404.24,0.8254,person
1,153,6.381,473.86,955.56,174.15,403.51,0.8374,person
1,154,6.423,474.11,956.18,170.66,394.95,0.8471,person
1,155,6.465,474.44,959.14,167.50,386.57,0.8488,person
1,156,6.506,474.28,961.82,166.12,382.30,0.8348,person
1,157,6.548,474.81,966.25,164.97,378.93,0.7627,person
1,158,6.590,474.28,968.88,166.27,382.15,0.7605,person
1,159,6.632,474.26,969.99,167.04,384.75,0.8107,person
1,160,6.673,471.73,970.71,172.36,399.96,0.7720,person
1,161,6.715,471.93,970.57,172.55,403.02,0.7795,person
1,162,6.757,475.36,970.40,165.90,387.62,0.8050,person
1,163,6.798,477.73,970.61,160.99,375.31,0.7930,person
1,164,6.840,478.52,970.82,159.43,371.00,0.7935,person
1,165,6.882,477.40,969.45,160.73,374.29,0.8065,person
1,166,6.924,475.53,967.22,161.95,378.42,0.8036,person
1,167,6.965,474.43,965.23,162.54,381.05,0.7983,person
1,168,7.007,474.67,964.07,161.66,380.19,0.8023,person
1,169,7.049,474.91,965.53,160.58,378.52,0.8037,person
1,170,7.090,475.07,967.17,159.49,376.56,0.7990,person
1,171,7.132,475.16,968.67,158.05,374.08,0.8070,person
1,172,7.174,474.32,970.24,157.10,372.81,0.8158,person
1,173,7.216,474.15,973.82,155.41,369.01,0.8267,person
1,174,7.257,473.09,976.57,154.90,367.52,0.8410,person
1,175,7.299,471.81,976.24,154.45,365.93,0.8399,person
1,176,7.341,471.42,975.17,153.38,362.74,0.8388,person
1,177,7.382,471.02,975.07,152.55,360.10,0.8427,person
1,178,7.424,470.40,973.89,152.95,360.60,0.8437,person
1,179,7.466,469.47,972.27,153.68,362.21,0.8332,person
1,180,7.507,469.23,971.44,154.00,362.92,0.8292,person
1,181,7.549,469.05,970.99,153.96,362.96,0.8332,person
1,182,7.591,468.78,971.63,154.20,363.81,0.8339,person
1,183,7.633,468.92,974.75,153.73,362.89,0.8398,person
1,184,7.674,469.96,978.41,152.13,358.85,0.8315,person
1,185,7.716,470.79,981.47,151.24,356.47,0.8191,person
1,186,7.758,470.72,984.38,151.04,356.47,0.8220,person
1,187,7.799,471.21,986.71,150.84,357.12,0.8095,person
1,188,7.841,471.71,988.06,150.95,358.92,0.7963,person
1,189,7.883,473.03,989.56,150.00,358.14,0.7937,person
1,190,7.925,476.51,990.07,145.77,347.31,0.7860,person
1,191,7.966,480.24,990.03,141.41,334.53,0.8210,person
1,192,8.008,479.04,989.66,145.23,342.92,0.8171,person
1,193,8.050,478.07,988.60,146.83,346.15,0.8082,person
1,194,8.091,477.16,987.44,147.70,348.22,0.8098,person
1,195,8.133,477.09,987.28,146.93,346.29,0.8033,person
1,196,8.175,477.22,987.64,145.85,344.07,0.8071,person
1,197,8.217,477.19,988.28,144.89,342.12,0.7876,person
